SEDREAMS,,,,DPI,,,,MMF,,,,CASE
IDR,MR,FAR,IDA,IDR,MR,FAR,IDA,IDR,MR,FAR,IDA,
0.76532,0.21627,0.01841,24.467,0.80691,0.15747,0.03562,16.418,0.80602,0.087009,0.10697,18.683,babble0R.wav'
0.86806,0.12629,0.0056528,13.397,0.91696,0.071609,0.011434,9.5563,0.8952,0.042743,0.062059,12.468,babble10R.wav'
0.9126,0.082657,0.0047448,10.723,0.95571,0.038341,0.0059472,8.2067,0.92372,0.031938,0.044341,10.471,babble15R.wav'
0.93858,0.05701,0.0044088,9.2427,0.97885,0.016928,0.0042176,7.5436,0.94019,0.026608,0.033203,9.3622,babble20R.wav'
0.95211,0.043338,0.0045469,8.3656,0.98725,0.0089923,0.0037536,7.2405,0.94898,0.024256,0.026769,8.7907,babble25R.wav'
0.76384,0.19605,0.04011,26.377,0.86366,0.11449,0.021848,12.268,0.85466,0.061446,0.083896,15.29,babble5R.wav'
0.95869,0.035946,0.0053651,13.884,0.89338,0.10055,0.0060702,19.377,0.97042,0.018636,0.010943,14.285,nonoise.wav'
0.00086314,0.99914,1.6631E-06,14.283,0.99854,0.0006935,0.00076502,2.104,0.99994,5.8208E-05,0,0.18515,peaks.wav'
0.81877,0.17782,0.003406,16.555,0.94291,0.047865,0.0092234,8.3454,0.71378,0.12233,0.16389,23.193,white0R.wav'
0.84454,0.098108,0.057353,16.734,0.98619,0.0096708,0.0041394,7.5638,0.83109,0.066909,0.10201,15.753,white10R.wav'
0.86974,0.074604,0.055652,15.768,0.98974,0.0063962,0.0038617,7.425,0.88399,0.044908,0.071103,12.527,white15R.wav'
0.9554,0.039897,0.0047015,9.0183,0.99022,0.0060536,0.003722,7.2653,0.9197,0.032127,0.048174,10.281,white20R.wav'
0.95831,0.036867,0.0048263,8.407,0.9901,0.0062415,0.0036554,7.1524,0.94076,0.025883,0.033353,9.0373,white25R.wav'
0.88771,0.10872,0.003574,13.094,0.9719,0.023019,0.0050824,7.7854,0.77072,0.093756,0.13552,19.52,white5R.wav'
0.92666,0.04415,0.029194,14.118,0.98902,0.007414,0.0035623,7.3757,0.96049,0.021635,0.017871,8.2412,raw_nonoise